"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.017901986144156,0.254084126313064,0.000180007081471453,0.109431758126586,0.396591108402323,-8109.24202928922
"Std.",0.000804054011515589,0.00333540410560206,0.000176435862366942,0.00384020799897486,0.0238173708363842,1.73041334507935
"Acceptance ratio",0.26838,0.20144,0.12212,0.22942,0.1558,0.66278
"0%",0.0146678062331128,0.237244471885337,3.55080602890525e-08,0.0943621642157321,0.313405830061213,-8122.81992468261
"2.5%",0.0163403298522378,0.247738470674536,4.97047246866944e-06,0.102119144833099,0.352377316332911,-8113.39426946871
"5%",0.0165976800333431,0.248691761706203,9.22598051719546e-06,0.103165053862649,0.35910308504244,-8112.49003192867
"7.5%",0.0167490275987437,0.249376948349344,1.38046523860048e-05,0.104004847664492,0.363021594817082,-8111.95750799362
"10%",0.0168756754920695,0.249846695128595,1.98575091133537e-05,0.104640345939157,0.366165737619272,-8111.58096652856
"12.5%",0.0169738347399315,0.250250133481664,2.6878608171925e-05,0.105090594502484,0.369117159903963,-8111.2511634332
"15%",0.0170624977359728,0.250622360706701,3.2255396382389e-05,0.105536440177246,0.371336954838825,-8110.98427826696
"17.5%",0.0171421812378654,0.250955832928642,3.71580293221158e-05,0.105889305511569,0.373996277732781,-8110.76110999119
"20%",0.0172270386418662,0.251277969229932,4.14614380730116e-05,0.106257766918112,0.375887730973426,-8110.54405767818
"22.5%",0.0172854394458532,0.25153495762338,4.83465818659315e-05,0.106545383734754,0.378109842514633,-8110.35832480872
"25%",0.0173531972636068,0.251810839451257,5.45026906764083e-05,0.106848544313277,0.379872009741806,-8110.17906490612
"27.5%",0.0174124326471546,0.252087591112606,5.9700440747336e-05,0.107127182371369,0.381815034919249,-8110.02040393373
"30%",0.0174714756211622,0.252305162967212,6.53107237389132e-05,0.10739457991162,0.383544060786408,-8109.87160879463
"32.5%",0.0175235016097806,0.252502753271524,7.11682128861024e-05,0.107659649429097,0.385022072182854,-8109.73260258875
"35%",0.0175868503279478,0.252748156322139,7.69618164205726e-05,0.107903030714627,0.386601640584062,-8109.60680292103
"37.5%",0.017631345727789,0.252989776932231,8.42203860537988e-05,0.108160218356767,0.388364367949704,-8109.47944397205
"40%",0.0176852313803201,0.253186360362146,9.10627443911729e-05,0.108397821336107,0.389870888956859,-8109.35794463742
"42.5%",0.0177351183287143,0.253406511078092,9.77230155183642e-05,0.108622267158879,0.391390794154855,-8109.24716756896
"45%",0.0177850020263475,0.253623531185486,0.000106561252733741,0.108880058432845,0.392799852272796,-8109.14039127834
"47.5%",0.0178355371303753,0.253822222343065,0.000115383050086744,0.109086376042981,0.39460679240206,-8109.0324331536
"50%",0.0178891295138545,0.254028586234614,0.000125925040258181,0.109319128061715,0.396164928556912,-8108.92759256341
"52.5%",0.0179471529986868,0.254247497649623,0.00013480104592439,0.109552620348404,0.397687817586702,-8108.82486103581
"55%",0.0179959107503056,0.254463426044175,0.000143339153627562,0.109774471906059,0.399192984629778,-8108.71961980029
"57.5%",0.018042289281569,0.254646336326118,0.000153058608956266,0.110017662302677,0.40059900829815,-8108.6205259557
"60%",0.0180944741132029,0.254876694030803,0.000163869734761872,0.110261613828732,0.402266946667478,-8108.52411972052
"62.5%",0.0181508600289535,0.255091745421604,0.000176528576213828,0.110541422449079,0.403780201435562,-8108.42559408348
"65%",0.0182031679133104,0.255332782046365,0.000188250578098704,0.110792587890684,0.405361739615022,-8108.33222296687
"67.5%",0.0182611641099871,0.255577840915541,0.000200254721854643,0.111124537347703,0.407055436971551,-8108.23977119249
"70%",0.0183186729067444,0.255798430961793,0.000214152522507986,0.111419003673806,0.408733300723214,-8108.15243077513
"72.5%",0.0183758154121695,0.256091644439292,0.000231127159290181,0.111739147066012,0.410621915629447,-8108.05194222836
"75%",0.0184389149417015,0.256333166139259,0.000248820028280502,0.112004081090886,0.412186176864969,-8107.95609148797
"77.5%",0.0185020335375048,0.256619699423893,0.000270640033102828,0.112341173533022,0.413923737351657,-8107.86623594996
"80%",0.0185822315282807,0.256909014817254,0.000296313089094476,0.112673299918482,0.416278485845678,-8107.77144850801
"82.5%",0.0186553147535027,0.25722468425574,0.00031983595387747,0.113012473066528,0.418623733333684,-8107.67652623266
"85%",0.0187436478506559,0.257563055008523,0.000346482052394538,0.113441365205758,0.421285356662686,-8107.56901881828
"87.5%",0.0188364202665175,0.257968609642318,0.000380004713977573,0.113850281012298,0.42413454733158,-8107.45698252351
"90%",0.0189540596925141,0.258395391951251,0.000419215225068909,0.114408700665363,0.427910980126764,-8107.33655380169
"92.5%",0.0190814819369212,0.258840031096487,0.000468498917566709,0.115070932370484,0.432305063047805,-8107.19720764065
"95%",0.0192542648430566,0.259597487245734,0.000541294350976105,0.115875339394515,0.436992520113938,-8107.04387554806
"97.5%",0.019490218749692,0.260701704396754,0.00064624170599077,0.117173912866944,0.444641735097603,-8106.83966468608
"100%",0.02095436498552,0.268398161719415,0.00146789114977564,0.124022733406861,0.482702323961512,-8106.24435535836
